발생일시,월별,시간대별,관할해경서,발생해역,위도,경도,기상상태,발생원인,발생유형,사고선박수,발생인원,구조,부상,사망,실종,선 종,톤수
2024-12-12 14:34,12,14,여수,항계 내,34 | 42 | 28,127 | 46 | 36,양호,화기취급부주의,화재,1,1,1,0,0,0,어선,5.05
2024-12-12 12:34,12,12,동해,영해-EEZ,38 | 58 | 0,134 | 1 | 0,황천5급,정비불량,기관손상,1,7,7,0,0,0,어선,52
2024-12-12 08:12,12,8,통영,영해,34 | 34 | 54,128 | 25 | 41,양호,정비불량,기관손상,1,1,1,0,0,0,어선,4.99
2024-12-12 07:15,12,7,통영,영해,34 | 36 | 43,128 | 7 | 54,양호,정비불량,기관손상,1,21,21,0,0,0,낚시어선,9.77
2024-12-11 20:53,12,20,서귀포,영해,33 | 15 | 0,126 | 42 | 0,양호,정비불량,추진기손상,1,3,3,0,0,0,유도선,12
2024-12-11 19:23,12,19,평택,영해,37 | 2 | 3,126 | 24 | 24,양호,관리소홀,해양오염,1,5,5,0,0,0,유조선,321
2024-12-11 16:54,12,16,서귀포,영해,33 | 4 | 60,126 | 37 | 60,양호,운항부주의,부유물감김,1,3,3,0,0,0,어선,6.36
2024-12-11 15:13,12,15,군산,영해,35 | 50 | 8,126 | 21 | 42,양호,정비불량,추진기손상,1,2,2,0,0,0,모터보트,1.51
2024-12-11 13:09,12,13,제주,영해,33 | 16 | 0,126 | 9 | 0,양호,정비불량,기관손상,1,2,2,0,0,0,모터보트,1.38
2024-12-11 13:09,12,13,서귀포,항계 내,33 | 16 | 15,126 | 9 | 54,양호,정비불량,기관손상,1,2,2,0,0,0,모터보트,1.38
2024-12-11 08:34,12,8,창원,영해,35 | 4 | 32,128 | 32 | 54,양호,운항부주의,좌초/좌주,1,1,1,0,0,0,어선,6.2
2024-12-11 08:10,12,8,동해,영해,37 | 35 | 30,129 | 6 | 52,황천6급,운항부주의,부유물감김,1,1,1,0,0,0,어선,2.3
2024-12-11 07:47,12,7,여수,영해,34 | 41 | 34,127 | 43 | 0,양호,운항부주의,충돌,1,18,18,0,0,0,낚시어선,9.77
2024-12-11 07:47,12,7,여수,영해,34 | 41 | 34,127 | 43 | 0,양호,운항부주의,충돌,1,2,2,0,0,0,어선,4.99
2024-12-11 03:00,12,3,울산,항계 내,35 | 26 | 15,129 | 26 | 35,양호,운항부주의,충돌,1,7,7,0,0,0,어선,29
